id,parent_id,name,level
3001,0,行政行为,1
3002,1,行政处罚,2
3003,2,警告,3
3004,2,通报批评,3
3005,2,罚款,3
3006,2,没收违法所得,3
3007,2,没收非法财物,3
3008,2,暂扣许可证件,3
3009,2,吊销许可证件,3
3010,2,降低资质等级,3
3011,2,责令关闭,3
3012,2,责令停产停业,3
3013,2,限制开展生产经营活动,3
3014,2,限制从业,3
3015,2,行政拘留,3
3016,2,不得申请行政许可,3
3017,2,责令限期拆除,3
3018,1,行政强制措施,2
3019,18,限制人身自由,3
3020,18,查封场所、设施或者财物,3
3021,18,扣押财物,3
3022,18,冻结存款、汇款,3
3023,18,冻结资金、证券,3
3024,18,强制隔离戒毒,3
3025,18,留置,3
3026,18,采取保护性约束措施,3
3027,1,行政强制执行,2
3028,27,加处罚款或者滞纳金,3
3029,27,划拨存款、汇款,3
3030,27,拍卖或者依法处理查封、扣押的场所、设施或者财物,3
3031,27,排除妨碍、恢复原状,3
3032,27,代履行,3
3033,27,强制拆除,3
3034,27,强制铲除,3
3035,27,强制清除,3
3036,27,强制检测,3
3037,27,强制销毁,3
3038,27,强制退役,3
3039,27,其他强制执行方式,3
3040,1,行政许可,2
3041,1,行政征收或者征用,2
3042,1,行政登记,2
3043,1,行政确认,2
3044,1,行政给付,2
3045,1,行政允诺,2
3046,1,行政征缴,2
3047,1,行政奖励,2
3048,1,行政收费,2
3049,1,政府信息公开,2
3050,1,行政批复,2
3051,1,行政处理,2
3052,1,行政复议,2
3053,1,行政裁决,2
3054,1,行政协议,2
3055,1,行政补偿,2
3056,1,行政赔偿,2
3057,1,不履行职责,2
3058,1,公益诉讼,2
3059,40,企业登记许可,3
3060,40,产品生产许可,3
3061,40,产品经营许可,3
3062,40,基础设施经营许可,3
3063,40,自然资源开发利用许可,3
3064,40,建设工程规划许可,3
3065,40,建设工程施工许可,3
3066,40,建设用地规划许可,3
3067,40,土地征收、征用许可,3
3068,40,食品生产经营许可,3
3069,40,药品生产经营许可,3
3070,40,医疗器械生产经营许可,3
3071,40,化妆品生产经营许可,3
3072,40,特种设备生产经营许可,3
3073,40,危险化学品生产经营许可,3
3074,40,烟花爆竹生产经营许可,3
3075,40,民用爆炸物品生产经营许可,3
3076,40,放射性物品生产经营许可,3
3077,40,排污许可,3
3078,40,取水许可,3
3079,40,捕捞许可,3
3080,40,狩猎许可,3
3081,40,采集许可,3
3082,40,运输许可,3
3083,40,出入境许可,3
3084,40,居留许可,3
3085,40,旅行许可,3
3086,40,驾驶许可,3
3087,40,执业许可,3
3088,40,教师资格许可,3
3089,40,医师执业许可,3
3090,40,律师执业许可,3
3091,40,注册会计师执业许可,3
3092,40,注册建筑师执业许可,3
3093,40,注册建造师执业许可,3
3094,40,注册监理工程师执业许可,3
3095,40,注册造价工程师执业许可,3
3096,40,注册资产评估师执业许可,3
3097,40,注册税务师执业许可,3
3098,40,注册测绘师执业许可,3
3099,40,注册环保工程师执业许可,3
3100,40,注册结构工程师执业许可,3
3101,40,注册土木工程师执业许可,3
3102,40,注册电气工程师执业许可,3
3103,40,注册公用设备工程师执业许可,3
3104,40,注册化工工程师执业许可,3
3105,40,注册石油天然气工程师执业许可,3
3106,40,注册冶金工程师执业许可,3
3107,40,注册采矿/矿物工程师执业许可,3
3108,40,注册机械工程师执业许可,3
3109,40,注册公用设备工程师执业许可,3
3110,40,注册电气工程师执业许可,3
3111,40,注册土木工程师（岩土）执业许可,3
3112,40,注册土木工程师（水利水电工程）执业许可,3
3113,40,注册土木工程师（港口与航道工程）执业许可,3
3114,40,注册土木工程师（道路工程）执业许可,3
3115,40,注册土木工程师（铁路工程）执业许可,3
3116,40,注册土木工程师（民航工程）执业许可,3
3117,40,注册土木工程师（海洋工程）执业许可,3
3118,40,注册土木工程师（矿业工程）执业许可,3
3119,40,注册土木工程师（石油天然气工程）执业许可,3
3120,40,注册土木工程师（冶金工程）执业许可,3
3121,40,注册土木工程师（化工工程）执业许可,3
3122,40,注册土木工程师（市政公用工程）执业许可,3
3123,40,注册土木工程师（建筑工程）执业许可,3
3124,40,注册土木工程师（装饰装修工程）执业许可,3
3125,40,注册土木工程师（园林绿化工程）执业许可,3
3126,40,注册土木工程师（环保工程）执业许可,3
3127,40,注册土木工程师（消防设施工程）执业许可,3
3128,40,注册土木工程师（防水防腐保温工程）执业许可,3
3129,40,注册土木工程师（桥梁隧道工程）执业许可,3
3130,40,注册土木工程师（轨道交通工程）执业许可,3
3131,40,注册土木工程师（地下管廊工程）执业许可,3
3132,40,注册土木工程师（海绵城市工程）执业许可,3
3133,40,注册土木工程师（综合管廊工程）执业许可,3
3134,40,注册土木工程师（装配式建筑工程）执业许可,3
3135,40,注册土木工程师（绿色建筑工程）执业许可,3
3136,40,注册土木工程师（智能建筑工程）执业许可,3
3137,40,注册土木工程师（智慧城市工程）执业许可,3
3138,40,注册土木工程师（数字城市工程）执业许可,3
